audiocap_id,youtube_id,start_time,caption
103545,DlWd7Wmdi1E,150,A man speaks as birds chirp and dogs bark
103475,S0YE96w0YRk,120,A man speaking as a crowd of people laugh and applaud
103548,6BJ455B1aAs,0,A rocket flies by followed by a loud explosion and fire crackling as a truck engine runs idle
103540,YQSuFyFm3Lc,230,A train running on a railroad track followed by a vehicle door closing and a man talking in the distance while a train horn honks and railroad crossing warning signals ring
103546,tjCNwdOUiGc,120,An engine rumbles loudly then an air horn honk three times
103549,7fmOlUlwoNg,20,Constant rattling noise and sharp vibrations
103706,up2PpjTzyyc,30,Music and a man speaking followed by bleeps and someone singing
104271,YQGW5AwDOIo,560,Vehicles passing by slowly together with distant murmuring
103938,Lbken4JCr94,10,Thunder and a gentle rain
104270,uhSDBwVrEdo,40,Whistling with wind blowing
